business_id,stars,date,year,month,day,dayOfWeek
KayYbHCt-RkbGcPdGOThNg,5,2014-07-21,2014,7,21,1
KayYbHCt-RkbGcPdGOThNg,3,2014-08-08,2014,8,8,5
KayYbHCt-RkbGcPdGOThNg,3,2015-01-30,2015,1,30,5
KayYbHCt-RkbGcPdGOThNg,3,2015-07-02,2015,7,2,4
KayYbHCt-RkbGcPdGOThNg,5,2015-07-15,2015,7,15,3
KayYbHCt-RkbGcPdGOThNg,5,2015-08-16,2015,8,16,0
KayYbHCt-RkbGcPdGOThNg,4,2015-11-11,2015,11,11,3
wJr6kSA5dchdgOdwH6dZ2w,3,2009-12-10,2009,12,10,4
wJr6kSA5dchdgOdwH6dZ2w,3,2010-01-03,2010,1,3,0
wJr6kSA5dchdgOdwH6dZ2w,4,2010-11-06,2010,11,6,6
wJr6kSA5dchdgOdwH6dZ2w,2,2011-11-21,2011,11,21,1
wJr6kSA5dchdgOdwH6dZ2w,4,2012-05-30,2012,5,30,3
wJr6kSA5dchdgOdwH6dZ2w,4,2014-09-18,2014,9,18,4
wJr6kSA5dchdgOdwH6dZ2w,3,2015-01-26,2015,1,26,1
fNGIbpazjTRdXgwRY_NIXA,2,2013-09-01,2013,9,1,0
fNGIbpazjTRdXgwRY_NIXA,5,2014-03-21,2014,3,21,5
fNGIbpazjTRdXgwRY_NIXA,5,2014-06-08,2014,6,8,0
fNGIbpazjTRdXgwRY_NIXA,4,2014-07-24,2014,7,24,4
fNGIbpazjTRdXgwRY_NIXA,5,2015-01-06,2015,1,6,2
fNGIbpazjTRdXgwRY_NIXA,3,2015-03-06,2015,3,6,5
fNGIbpazjTRdXgwRY_NIXA,4,2015-12-19,2015,12,19,6
b9WZJp5L1RZr4F1nxclOoQ,3,2007-03-31,2007,3,31,6
b9WZJp5L1RZr4F1nxclOoQ,4,2007-08-02,2007,8,2,4
b9WZJp5L1RZr4F1nxclOoQ,5,2008-04-12,2008,4,12,6
b9WZJp5L1RZr4F1nxclOoQ,4,2008-12-03,2008,12,3,3
b9WZJp5L1RZr4F1nxclOoQ,5,2009-03-10,2009,3,10,2
b9WZJp5L1RZr4F1nxclOoQ,5,2009-04-07,2009,4,7,2
b9WZJp5L1RZr4F1nxclOoQ,4,2009-08-20,2009,8,20,4
b9WZJp5L1RZr4F1nxclOoQ,5,2010-03-07,2010,3,7,0
b9WZJp5L1RZr4F1nxclOoQ,5,2010-06-28,2010,6,28,1
b9WZJp5L1RZr4F1nxclOoQ,5,2011-01-05,2011,1,5,3
b9WZJp5L1RZr4F1nxclOoQ,4,2011-02-06,2011,2,6,0
b9WZJp5L1RZr4F1nxclOoQ,4,2011-06-13,2011,6,13,1
b9WZJp5L1RZr4F1nxclOoQ,4,2011-07-05,2011,7,5,2
b9WZJp5L1RZr4F1nxclOoQ,5,2011-11-15,2011,11,15,2
b9WZJp5L1RZr4F1nxclOoQ,3,2011-12-05,2011,12,5,1
b9WZJp5L1RZr4F1nxclOoQ,5,2012-02-12,2012,2,12,0
b9WZJp5L1RZr4F1nxclOoQ,5,2012-02-19,2012,2,19,0
b9WZJp5L1RZr4F1nxclOoQ,5,2012-04-05,2012,4,5,4
b9WZJp5L1RZr4F1nxclOoQ,5,2012-04-07,2012,4,7,6
b9WZJp5L1RZr4F1nxclOoQ,5,2012-06-25,2012,6,25,1
b9WZJp5L1RZr4F1nxclOoQ,5,2012-07-06,2012,7,6,5
b9WZJp5L1RZr4F1nxclOoQ,4,2012-07-15,2012,7,15,0
b9WZJp5L1RZr4F1nxclOoQ,5,2012-07-29,2012,7,29,0
b9WZJp5L1RZr4F1nxclOoQ,4,2013-02-21,2013,2,21,4
b9WZJp5L1RZr4F1nxclOoQ,5,2013-03-16,2013,3,16,6
b9WZJp5L1RZr4F1nxclOoQ,5,2013-04-08,2013,4,8,1
b9WZJp5L1RZr4F1nxclOoQ,5,2013-04-13,2013,4,13,6
b9WZJp5L1RZr4F1nxclOoQ,4,2013-09-25,2013,9,25,3
b9WZJp5L1RZr4F1nxclOoQ,5,2013-10-06,2013,10,6,0
b9WZJp5L1RZr4F1nxclOoQ,5,2013-10-12,2013,10,12,6
b9WZJp5L1RZr4F1nxclOoQ,5,2013-10-31,2013,10,31,4
b9WZJp5L1RZr4F1nxclOoQ,5,2014-05-04,2014,5,4,0
b9WZJp5L1RZr4F1nxclOoQ,5,2014-09-05,2014,9,5,5
b9WZJp5L1RZr4F1nxclOoQ,5,2014-09-30,2014,9,30,2
b9WZJp5L1RZr4F1nxclOoQ,5,2014-12-14,2014,12,14,0
b9WZJp5L1RZr4F1nxclOoQ,5,2014-12-28,2014,12,28,0
b9WZJp5L1RZr4F1nxclOoQ,5,2015-02-07,2015,2,7,6
b9WZJp5L1RZr4F1nxclOoQ,3,2015-02-08,2015,2,8,0
b9WZJp5L1RZr4F1nxclOoQ,4,2015-02-14,2015,2,14,6
b9WZJp5L1RZr4F1nxclOoQ,3,2015-03-01,2015,3,1,0
b9WZJp5L1RZr4F1nxclOoQ,5,2015-03-07,2015,3,7,6
b9WZJp5L1RZr4F1nxclOoQ,4,2015-03-09,2015,3,9,1
b9WZJp5L1RZr4F1nxclOoQ,5,2015-03-25,2015,3,25,3
b9WZJp5L1RZr4F1nxclOoQ,2,2015-04-18,2015,4,18,6
b9WZJp5L1RZr4F1nxclOoQ,5,2015-05-14,2015,5,14,4
b9WZJp5L1RZr4F1nxclOoQ,5,2015-05-24,2015,5,24,0
b9WZJp5L1RZr4F1nxclOoQ,5,2015-07-09,2015,7,9,4
b9WZJp5L1RZr4F1nxclOoQ,5,2015-07-13,2015,7,13,1
b9WZJp5L1RZr4F1nxclOoQ,5,2015-07-16,2015,7,16,4
b9WZJp5L1RZr4F1nxclOoQ,4,2015-11-09,2015,11,9,1
b9WZJp5L1RZr4F1nxclOoQ,5,2015-11-11,2015,11,11,3
b9WZJp5L1RZr4F1nxclOoQ,5,2015-11-20,2015,11,20,5
b9WZJp5L1RZr4F1nxclOoQ,5,2015-12-15,2015,12,15,2
zaXDakTd3RXyOa7sMrUE1g,5,2011-12-01,2011,12,1,4
zaXDakTd3RXyOa7sMrUE1g,5,2012-10-14,2012,10,14,0
zaXDakTd3RXyOa7sMrUE1g,5,2014-02-13,2014,2,13,4
zaXDakTd3RXyOa7sMrUE1g,2,2014-07-19,2014,7,19,6
zaXDakTd3RXyOa7sMrUE1g,3,2014-11-08,2014,11,8,6
WETE_LykpcnrC1sFcQ5EGg,5,2009-06-18,2009,6,18,4
WETE_LykpcnrC1sFcQ5EGg,4,2011-03-14,2011,3,14,1
WETE_LykpcnrC1sFcQ5EGg,1,2011-05-07,2011,5,7,6
WETE_LykpcnrC1sFcQ5EGg,4,2011-08-20,2011,8,20,6
WETE_LykpcnrC1sFcQ5EGg,2,2012-04-04,2012,4,4,3
WETE_LykpcnrC1sFcQ5EGg,2,2012-05-07,2012,5,7,1
rv7CY8G_XibTx82YhuqQRw,3,2013-10-14,2013,10,14,1
rv7CY8G_XibTx82YhuqQRw,3,2013-11-02,2013,11,2,6
rv7CY8G_XibTx82YhuqQRw,5,2014-04-22,2014,4,22,2
rv7CY8G_XibTx82YhuqQRw,4,2015-08-06,2015,8,6,4
rv7CY8G_XibTx82YhuqQRw,2,2015-10-16,2015,10,16,5
SQ0j7bgSTazkVQlF5AnqyQ,3,2010-06-04,2010,6,4,5
SQ0j7bgSTazkVQlF5AnqyQ,1,2011-01-12,2011,1,12,3
SQ0j7bgSTazkVQlF5AnqyQ,4,2011-11-05,2011,11,5,6
SQ0j7bgSTazkVQlF5AnqyQ,2,2013-03-29,2013,3,29,5
SQ0j7bgSTazkVQlF5AnqyQ,2,2013-06-10,2013,6,10,1
SQ0j7bgSTazkVQlF5AnqyQ,4,2014-05-19,2014,5,19,1
SQ0j7bgSTazkVQlF5AnqyQ,3,2014-08-04,2014,8,4,1
SQ0j7bgSTazkVQlF5AnqyQ,1,2015-06-08,2015,6,8,1
wqu7ILomIOPSduRwoWp4AQ,4,2014-06-20,2014,6,20,5
wqu7ILomIOPSduRwoWp4AQ,5,2014-09-02,2014,9,2,2
wqu7ILomIOPSduRwoWp4AQ,5,2014-09-25,2014,9,25,4
wqu7ILomIOPSduRwoWp4AQ,3,2015-05-07,2015,5,7,4
wqu7ILomIOPSduRwoWp4AQ,5,2015-06-16,2015,6,16,2
wqu7ILomIOPSduRwoWp4AQ,4,2015-06-29,2015,6,29,1
wqu7ILomIOPSduRwoWp4AQ,5,2015-08-23,2015,8,23,0
P1fJb2WQ1mXoiudj8UE44w,5,2007-08-14,2007,8,14,2
P1fJb2WQ1mXoiudj8UE44w,5,2008-01-13,2008,1,13,0
P1fJb2WQ1mXoiudj8UE44w,4,2009-08-15,2009,8,15,6
P1fJb2WQ1mXoiudj8UE44w,4,2010-02-17,2010,2,17,3
P1fJb2WQ1mXoiudj8UE44w,5,2010-02-18,2010,2,18,4
P1fJb2WQ1mXoiudj8UE44w,5,2010-03-13,2010,3,13,6
P1fJb2WQ1mXoiudj8UE44w,3,2010-07-21,2010,7,21,3
P1fJb2WQ1mXoiudj8UE44w,4,2011-01-13,2011,1,13,4
P1fJb2WQ1mXoiudj8UE44w,5,2011-02-21,2011,2,21,1
P1fJb2WQ1mXoiudj8UE44w,4,2011-03-13,2011,3,13,0
P1fJb2WQ1mXoiudj8UE44w,1,2011-03-14,2011,3,14,1
P1fJb2WQ1mXoiudj8UE44w,4,2011-04-09,2011,4,9,6
P1fJb2WQ1mXoiudj8UE44w,4,2011-07-17,2011,7,17,0
P1fJb2WQ1mXoiudj8UE44w,4,2011-10-17,2011,10,17,1
P1fJb2WQ1mXoiudj8UE44w,4,2011-10-20,2011,10,20,4
P1fJb2WQ1mXoiudj8UE44w,2,2012-01-02,2012,1,2,1
P1fJb2WQ1mXoiudj8UE44w,4,2012-01-02,2012,1,2,1
P1fJb2WQ1mXoiudj8UE44w,4,2012-03-18,2012,3,18,0
P1fJb2WQ1mXoiudj8UE44w,4,2012-04-01,2012,4,1,0
P1fJb2WQ1mXoiudj8UE44w,2,2012-08-02,2012,8,2,4
P1fJb2WQ1mXoiudj8UE44w,3,2012-08-12,2012,8,12,0
P1fJb2WQ1mXoiudj8UE44w,2,2012-08-14,2012,8,14,2
P1fJb2WQ1mXoiudj8UE44w,4,2012-09-17,2012,9,17,1
P1fJb2WQ1mXoiudj8UE44w,2,2013-03-04,2013,3,4,1
P1fJb2WQ1mXoiudj8UE44w,2,2013-03-09,2013,3,9,6
P1fJb2WQ1mXoiudj8UE44w,4,2013-05-26,2013,5,26,0
P1fJb2WQ1mXoiudj8UE44w,4,2013-07-11,2013,7,11,4
P1fJb2WQ1mXoiudj8UE44w,4,2013-09-29,2013,9,29,0
P1fJb2WQ1mXoiudj8UE44w,4,2013-10-18,2013,10,18,5
P1fJb2WQ1mXoiudj8UE44w,4,2013-12-03,2013,12,3,2
P1fJb2WQ1mXoiudj8UE44w,1,2013-12-26,2013,12,26,4
P1fJb2WQ1mXoiudj8UE44w,5,2014-02-02,2014,2,2,0
P1fJb2WQ1mXoiudj8UE44w,5,2014-02-24,2014,2,24,1
P1fJb2WQ1mXoiudj8UE44w,3,2014-03-03,2014,3,3,1
P1fJb2WQ1mXoiudj8UE44w,5,2014-05-19,2014,5,19,1
P1fJb2WQ1mXoiudj8UE44w,4,2014-07-05,2014,7,5,6
P1fJb2WQ1mXoiudj8UE44w,5,2014-07-29,2014,7,29,2
P1fJb2WQ1mXoiudj8UE44w,1,2014-08-03,2014,8,3,0
P1fJb2WQ1mXoiudj8UE44w,5,2014-09-17,2014,9,17,3
P1fJb2WQ1mXoiudj8UE44w,5,2014-09-30,2014,9,30,2
P1fJb2WQ1mXoiudj8UE44w,2,2014-10-06,2014,10,6,1
P1fJb2WQ1mXoiudj8UE44w,1,2014-11-21,2014,11,21,5
P1fJb2WQ1mXoiudj8UE44w,2,2014-11-28,2014,11,28,5
P1fJb2WQ1mXoiudj8UE44w,2,2014-12-19,2014,12,19,5
P1fJb2WQ1mXoiudj8UE44w,3,2014-12-29,2014,12,29,1
P1fJb2WQ1mXoiudj8UE44w,5,2015-01-18,2015,1,18,0
P1fJb2WQ1mXoiudj8UE44w,2,2015-02-07,2015,2,7,6
P1fJb2WQ1mXoiudj8UE44w,4,2015-02-24,2015,2,24,2
P1fJb2WQ1mXoiudj8UE44w,4,2015-03-02,2015,3,2,1
P1fJb2WQ1mXoiudj8UE44w,4,2015-03-06,2015,3,6,5
P1fJb2WQ1mXoiudj8UE44w,5,2015-03-13,2015,3,13,5
P1fJb2WQ1mXoiudj8UE44w,2,2015-03-15,2015,3,15,0
P1fJb2WQ1mXoiudj8UE44w,2,2015-05-11,2015,5,11,1
P1fJb2WQ1mXoiudj8UE44w,5,2015-05-30,2015,5,30,6
P1fJb2WQ1mXoiudj8UE44w,5,2015-06-07,2015,6,7,0
P1fJb2WQ1mXoiudj8UE44w,4,2015-06-18,2015,6,18,4
P1fJb2WQ1mXoiudj8UE44w,5,2015-07-02,2015,7,2,4
P1fJb2WQ1mXoiudj8UE44w,5,2015-07-03,2015,7,3,5
P1fJb2WQ1mXoiudj8UE44w,4,2015-07-08,2015,7,8,3
P1fJb2WQ1mXoiudj8UE44w,1,2015-07-12,2015,7,12,0
P1fJb2WQ1mXoiudj8UE44w,3,2015-08-01,2015,8,1,6
P1fJb2WQ1mXoiudj8UE44w,5,2015-08-20,2015,8,20,4
P1fJb2WQ1mXoiudj8UE44w,1,2015-12-04,2015,12,4,5
t_gan0EXAw8csKIeFyazJw,1,2015-05-04,2015,5,4,1
t_gan0EXAw8csKIeFyazJw,5,2015-05-12,2015,5,12,2
t_gan0EXAw8csKIeFyazJw,4,2015-06-08,2015,6,8,1
sZ4uYs99km644ZMR1TO76A,3,2011-03-28,2011,3,28,1
sZ4uYs99km644ZMR1TO76A,1,2015-10-20,2015,10,20,2
sZ4uYs99km644ZMR1TO76A,4,2015-12-08,2015,12,8,2
6ilJq_05xRgek_8qUp36-g,4,2009-01-04,2009,1,4,0
6ilJq_05xRgek_8qUp36-g,4,2009-06-24,2009,6,24,3
6ilJq_05xRgek_8qUp36-g,3,2010-06-01,2010,6,1,2
6ilJq_05xRgek_8qUp36-g,1,2010-06-02,2010,6,2,3
6ilJq_05xRgek_8qUp36-g,1,2010-12-19,2010,12,19,0
6ilJq_05xRgek_8qUp36-g,4,2011-01-06,2011,1,6,4
6ilJq_05xRgek_8qUp36-g,2,2011-03-05,2011,3,5,6
6ilJq_05xRgek_8qUp36-g,2,2011-05-26,2011,5,26,4
6ilJq_05xRgek_8qUp36-g,2,2011-06-06,2011,6,6,1
6ilJq_05xRgek_8qUp36-g,3,2011-10-21,2011,10,21,5
6ilJq_05xRgek_8qUp36-g,1,2011-12-20,2011,12,20,2
6ilJq_05xRgek_8qUp36-g,1,2011-12-29,2011,12,29,4
6ilJq_05xRgek_8qUp36-g,1,2012-03-13,2012,3,13,2
6ilJq_05xRgek_8qUp36-g,2,2012-04-03,2012,4,3,2
6ilJq_05xRgek_8qUp36-g,2,2012-07-19,2012,7,19,4
6ilJq_05xRgek_8qUp36-g,3,2012-08-09,2012,8,9,4
6ilJq_05xRgek_8qUp36-g,4,2012-08-20,2012,8,20,1
6ilJq_05xRgek_8qUp36-g,2,2012-10-07,2012,10,7,0
6ilJq_05xRgek_8qUp36-g,1,2013-01-25,2013,1,25,5
6ilJq_05xRgek_8qUp36-g,1,2013-04-03,2013,4,3,3
6ilJq_05xRgek_8qUp36-g,1,2013-05-14,2013,5,14,2
6ilJq_05xRgek_8qUp36-g,1,2013-06-17,2013,6,17,1
6ilJq_05xRgek_8qUp36-g,1,2013-06-28,2013,6,28,5
6ilJq_05xRgek_8qUp36-g,4,2014-01-15,2014,1,15,3
6ilJq_05xRgek_8qUp36-g,1,2014-05-03,2014,5,3,6
6ilJq_05xRgek_8qUp36-g,1,2014-05-13,2014,5,13,2
6ilJq_05xRgek_8qUp36-g,1,2014-06-04,2014,6,4,3
6ilJq_05xRgek_8qUp36-g,2,2014-07-11,2014,7,11,5
6ilJq_05xRgek_8qUp36-g,1,2014-07-29,2014,7,29,2
6ilJq_05xRgek_8qUp36-g,1,2014-08-09,2014,8,9,6
6ilJq_05xRgek_8qUp36-g,1,2014-08-28,2014,8,28,4
6ilJq_05xRgek_8qUp36-g,3,2014-10-15,2014,10,15,3
6ilJq_05xRgek_8qUp36-g,2,2014-11-23,2014,11,23,0
6ilJq_05xRgek_8qUp36-g,2,2015-01-11,2015,1,11,0
6ilJq_05xRgek_8qUp36-g,3,2015-03-14,2015,3,14,6
6ilJq_05xRgek_8qUp36-g,1,2015-04-04,2015,4,4,6
6ilJq_05xRgek_8qUp36-g,1,2015-04-06,2015,4,6,1
6ilJq_05xRgek_8qUp36-g,4,2015-04-28,2015,4,28,2
6ilJq_05xRgek_8qUp36-g,3,2015-05-16,2015,5,16,6
6ilJq_05xRgek_8qUp36-g,1,2015-06-18,2015,6,18,4
6ilJq_05xRgek_8qUp36-g,1,2015-07-16,2015,7,16,4
6ilJq_05xRgek_8qUp36-g,2,2015-07-21,2015,7,21,2
6ilJq_05xRgek_8qUp36-g,1,2015-12-13,2015,12,13,0
MKyk4F4HSzHF8v-4cYe3Ww,2,2008-04-12,2008,4,12,6
MKyk4F4HSzHF8v-4cYe3Ww,3,2008-12-03,2008,12,3,3
MKyk4F4HSzHF8v-4cYe3Ww,5,2009-06-24,2009,6,24,3
MKyk4F4HSzHF8v-4cYe3Ww,5,2009-12-13,2009,12,13,0
MKyk4F4HSzHF8v-4cYe3Ww,5,2010-06-16,2010,6,16,3
MKyk4F4HSzHF8v-4cYe3Ww,4,2010-12-08,2010,12,8,3
MKyk4F4HSzHF8v-4cYe3Ww,4,2011-01-17,2011,1,17,1
MKyk4F4HSzHF8v-4cYe3Ww,2,2011-03-21,2011,3,21,1
MKyk4F4HSzHF8v-4cYe3Ww,4,2011-03-21,2011,3,21,1
MKyk4F4HSzHF8v-4cYe3Ww,3,2011-10-11,2011,10,11,2
MKyk4F4HSzHF8v-4cYe3Ww,5,2011-10-12,2011,10,12,3
MKyk4F4HSzHF8v-4cYe3Ww,5,2011-10-14,2011,10,14,5
MKyk4F4HSzHF8v-4cYe3Ww,5,2013-01-08,2013,1,8,2
MKyk4F4HSzHF8v-4cYe3Ww,3,2013-04-23,2013,4,23,2
MKyk4F4HSzHF8v-4cYe3Ww,2,2013-06-10,2013,6,10,1
MKyk4F4HSzHF8v-4cYe3Ww,4,2013-10-13,2013,10,13,0
MKyk4F4HSzHF8v-4cYe3Ww,4,2013-11-27,2013,11,27,3
MKyk4F4HSzHF8v-4cYe3Ww,4,2013-12-01,2013,12,1,0
MKyk4F4HSzHF8v-4cYe3Ww,5,2014-01-20,2014,1,20,1
MKyk4F4HSzHF8v-4cYe3Ww,4,2014-02-02,2014,2,2,0
MKyk4F4HSzHF8v-4cYe3Ww,5,2014-02-02,2014,2,2,0
MKyk4F4HSzHF8v-4cYe3Ww,4,2014-08-30,2014,8,30,6
MKyk4F4HSzHF8v-4cYe3Ww,3,2014-09-07,2014,9,7,0
MKyk4F4HSzHF8v-4cYe3Ww,2,2014-10-19,2014,10,19,0
MKyk4F4HSzHF8v-4cYe3Ww,1,2014-11-28,2014,11,28,5
MKyk4F4HSzHF8v-4cYe3Ww,3,2015-01-02,2015,1,2,5
MKyk4F4HSzHF8v-4cYe3Ww,3,2015-01-03,2015,1,3,6
MKyk4F4HSzHF8v-4cYe3Ww,3,2015-02-14,2015,2,14,6
MKyk4F4HSzHF8v-4cYe3Ww,1,2015-04-26,2015,4,26,0
MKyk4F4HSzHF8v-4cYe3Ww,5,2015-08-28,2015,8,28,5
MKyk4F4HSzHF8v-4cYe3Ww,5,2015-11-28,2015,11,28,6
1qCuOcks5HRv67OHovAVpg,4,2010-04-15,2010,4,15,4
1qCuOcks5HRv67OHovAVpg,5,2010-04-16,2010,4,16,5
1qCuOcks5HRv67OHovAVpg,3,2011-03-20,2011,3,20,0
1qCuOcks5HRv67OHovAVpg,4,2011-08-27,2011,8,27,6
1qCuOcks5HRv67OHovAVpg,4,2011-09-03,2011,9,3,6
1qCuOcks5HRv67OHovAVpg,3,2012-01-21,2012,1,21,6
1qCuOcks5HRv67OHovAVpg,5,2012-02-09,2012,2,9,4
1qCuOcks5HRv67OHovAVpg,2,2012-08-04,2012,8,4,6
1qCuOcks5HRv67OHovAVpg,2,2013-05-20,2013,5,20,1
1qCuOcks5HRv67OHovAVpg,1,2013-07-02,2013,7,2,2
1qCuOcks5HRv67OHovAVpg,3,2013-09-15,2013,9,15,0
1qCuOcks5HRv67OHovAVpg,5,2014-01-07,2014,1,7,2
1qCuOcks5HRv67OHovAVpg,2,2014-03-20,2014,3,20,4
1qCuOcks5HRv67OHovAVpg,4,2014-09-13,2014,9,13,6
1qCuOcks5HRv67OHovAVpg,4,2015-01-05,2015,1,5,1
1qCuOcks5HRv67OHovAVpg,3,2015-02-07,2015,2,7,6
1qCuOcks5HRv67OHovAVpg,4,2015-03-08,2015,3,8,0
1qCuOcks5HRv67OHovAVpg,5,2015-03-21,2015,3,21,6
1qCuOcks5HRv67OHovAVpg,4,2015-04-06,2015,4,6,1
1qCuOcks5HRv67OHovAVpg,5,2015-04-24,2015,4,24,5
1qCuOcks5HRv67OHovAVpg,3,2015-05-07,2015,5,7,4
1qCuOcks5HRv67OHovAVpg,3,2015-07-10,2015,7,10,5
1qCuOcks5HRv67OHovAVpg,5,2015-08-10,2015,8,10,1
1qCuOcks5HRv67OHovAVpg,5,2015-09-14,2015,9,14,1
1qCuOcks5HRv67OHovAVpg,4,2015-11-23,2015,11,23,1
1qCuOcks5HRv67OHovAVpg,3,2015-12-13,2015,12,13,0
sbW8qHJgzEIH42B0S-3New,5,2007-11-20,2007,11,20,2
sbW8qHJgzEIH42B0S-3New,2,2008-01-27,2008,1,27,0
sbW8qHJgzEIH42B0S-3New,3,2009-05-24,2009,5,24,0
sbW8qHJgzEIH42B0S-3New,2,2009-06-18,2009,6,18,4
sbW8qHJgzEIH42B0S-3New,4,2009-06-24,2009,6,24,3
sbW8qHJgzEIH42B0S-3New,2,2010-11-27,2010,11,27,6
sbW8qHJgzEIH42B0S-3New,3,2010-11-28,2010,11,28,0
sbW8qHJgzEIH42B0S-3New,1,2011-05-13,2011,5,13,5
sbW8qHJgzEIH42B0S-3New,4,2011-07-13,2011,7,13,3
sbW8qHJgzEIH42B0S-3New,4,2011-07-16,2011,7,16,6
sbW8qHJgzEIH42B0S-3New,3,2011-10-02,2011,10,2,0
sbW8qHJgzEIH42B0S-3New,2,2012-01-21,2012,1,21,6
sbW8qHJgzEIH42B0S-3New,4,2012-03-02,2012,3,2,5
sbW8qHJgzEIH42B0S-3New,5,2012-04-16,2012,4,16,1
sbW8qHJgzEIH42B0S-3New,2,2012-04-23,2012,4,23,1
sbW8qHJgzEIH42B0S-3New,4,2012-08-22,2012,8,22,3
sbW8qHJgzEIH42B0S-3New,4,2012-08-24,2012,8,24,5
sbW8qHJgzEIH42B0S-3New,3,2012-09-29,2012,9,29,6
sbW8qHJgzEIH42B0S-3New,3,2012-10-22,2012,10,22,1
sbW8qHJgzEIH42B0S-3New,3,2013-03-10,2013,3,10,0
sbW8qHJgzEIH42B0S-3New,1,2013-03-15,2013,3,15,5
sbW8qHJgzEIH42B0S-3New,2,2013-03-30,2013,3,30,6
sbW8qHJgzEIH42B0S-3New,1,2013-04-09,2013,4,9,2
sbW8qHJgzEIH42B0S-3New,3,2013-04-15,2013,4,15,1
sbW8qHJgzEIH42B0S-3New,3,2013-04-23,2013,4,23,2
sbW8qHJgzEIH42B0S-3New,3,2013-05-11,2013,5,11,6
sbW8qHJgzEIH42B0S-3New,3,2013-07-01,2013,7,1,1
sbW8qHJgzEIH42B0S-3New,4,2013-07-03,2013,7,3,3
sbW8qHJgzEIH42B0S-3New,3,2013-07-07,2013,7,7,0
sbW8qHJgzEIH42B0S-3New,1,2013-07-14,2013,7,14,0
sbW8qHJgzEIH42B0S-3New,5,2013-11-30,2013,11,30,6
sbW8qHJgzEIH42B0S-3New,2,2013-12-29,2013,12,29,0
sbW8qHJgzEIH42B0S-3New,1,2014-01-17,2014,1,17,5
sbW8qHJgzEIH42B0S-3New,3,2014-03-27,2014,3,27,4
sbW8qHJgzEIH42B0S-3New,5,2014-04-15,2014,4,15,2
sbW8qHJgzEIH42B0S-3New,1,2014-04-15,2014,4,15,2
sbW8qHJgzEIH42B0S-3New,4,2014-04-27,2014,4,27,0
sbW8qHJgzEIH42B0S-3New,5,2014-05-24,2014,5,24,6
sbW8qHJgzEIH42B0S-3New,3,2014-06-17,2014,6,17,2
sbW8qHJgzEIH42B0S-3New,5,2014-07-08,2014,7,8,2
sbW8qHJgzEIH42B0S-3New,2,2014-07-27,2014,7,27,0
sbW8qHJgzEIH42B0S-3New,3,2014-08-17,2014,8,17,0
