sunday,monday,tuesday,wednesday,thursday,friday,saturday,business_id
2,1,2,1,1,2,0,8Nm_jcCYtMXYW0ODSHDiXA
0,1,1,1,2,1,0,T49ZvBa6mD4xHSmjHe-ArA
1,1,0,2,1,4,0,eOv0Dbq2E8sd0CKMAqTImw
2,2,3,1,3,3,3,_jsJFrAmFVPRio0eEVExbA
0,1,0,0,1,0,2,JX2gDf2uy2UGuKPpcKT-IA
0,0,0,1,0,1,1,udZJ8YgsHdqtFDQkyPTV1Q
6,4,6,3,7,10,12,ucKQlQvOeJxETLNkpKcaSw
2,5,5,10,5,14,2,ZL6DNzyenFm9Kpz6uADlNg
0,0,1,0,0,2,1,OcTG-KzDleuRub-pb6JS3Q
2,0,1,1,2,5,3,Y2p07YEC8xOsYTHWf0UxiA
3,5,2,1,5,1,0,g58NW9q4F09wTMiI7EIjmg
3,2,0,0,1,0,3,Pu5uzlZ05pqVlx6LcZbfgw
34,24,32,26,25,58,38,83_p9vIqOq1TUIf3_GD7bA
57,80,106,98,123,84,67,Ts4xsKPU7FNPPZRj-nRjIg
3,5,2,2,2,3,1,UtWJ8NGMg-3z28s0RzlUoQ
2,3,4,2,1,3,2,bZcqORBnVApUA2-SEn7VEQ
4,10,6,6,5,2,0,1IwQhGGOrVNGGQskR_3uLw
0,2,1,7,10,14,2,ZDKi3qsO8lSSogrIdbLJKg
3,2,6,4,2,7,7,B9C6j80ob0f1pwi1Cnnd1Q
28,40,32,29,52,49,79,2SwC8wqpZC4B9iFVTgYT9A
18,12,14,21,17,24,45,PzG0XmAmtXFs6Fdnubf41g
6,3,9,7,10,6,5,lHP5STO7aomlEQixH8m1aA
51,49,42,48,42,67,82,-iVcmhjfq79QoTWzrb6pKg
2,5,8,8,13,11,2,l_Wey2YC6NvVUIH8vTygGg
1,8,7,4,10,12,11,XWLtYPhCpHht5Zn52zp3-Q
15,14,7,15,22,18,2,qUeBDN0D8SC93KeAHhiL-g
1,0,0,1,0,1,0,LltDzuzRbAJbSrqD4JH-3A
0,0,0,2,1,1,0,VkqKyq09rDYMhFk5nElWWA
1,1,0,1,1,8,8,QIJa5h2d65Bgh82zct7c7A
0,1,0,1,3,6,1,PTkChuI3GPCw-ZL1Iph76A
7,16,27,17,22,20,6,YRDKsBFYP7G0E8BLJKIkvA
21,24,25,20,29,48,52,IxQ1ATP_Wg_QujO9nywzcQ
0,0,3,2,1,4,1,TyIsuojeKcTb4Acfg7xqew
2,4,2,2,1,0,0,oj8bMz76cKXQClpFTFNW9w
1,2,4,3,5,10,3,k1A8pNspBPinGDivxkuDSA
0,0,2,1,2,3,1,e5DtayybW4jbKcDBwEUmOQ
0,0,3,2,20,4,3,OjzR6hUYasFReo0vhVn0-w
15,1,1,2,1,4,1,6AnorAMPkTdSDbUkOoV1Rw
0,2,0,0,0,1,0,49nxzKLr2qQnLF58qo2p1w
9,11,15,17,11,15,1,q_BKmbdlYfQJroJVHfYMUQ
4,5,6,3,1,1,0,99WYCuBEsO7OUCDWbbrrew
1,1,1,0,0,4,0,vMCCvnDU-Iz_D_pmbcMqzA
1,1,0,1,3,0,0,hUV4bjXE8Ijd-pDNr8S6mA
17,18,20,16,21,28,29,Z101WZaISochG6g7tI2ZVw
0,1,0,0,1,6,2,Eixtf79t1_ZKaC-7J2kAWg
4,2,0,4,4,5,0,Z0OGW8PysysRXE0dR7QxQQ
0,1,1,0,0,1,0,AAcw9y30cRuMo0oa8UBiIw
1,0,1,0,4,5,1,YUZVBdGmagwXV-yOhR-1GQ
1,0,0,1,1,7,4,OIL-eZX8d10jgWPLW-E7zA
1,1,2,2,1,4,3,PSlOtPIo28BvWOzdLmRRRQ
0,6,8,7,15,11,3,7KjZ49Xrb6QWjnu5NlxzVw
0,2,7,2,1,2,0,wan0X-oHpLgGTPXqaICZCw
3,6,1,0,8,5,3,QnyzlVMyx0Exri-Lay10cA
1,0,2,1,0,2,2,81sqVj0xHyJXGYT0ip5fmQ
1,2,1,0,2,3,2,Wn5bLgkx_S7W1q2TeoLL1g
3,9,6,8,7,27,13,m61vZsAxmTEq3uiCjFjM8Q
8,19,23,24,21,26,12,93UCt9OgWYmypZCpXtUu8g
0,0,0,1,2,3,0,za5fND9-pXyVSk5rM28MsQ
9,6,5,4,11,18,6,ORTRrw3ClZ0Ld0LgY1H_5g
3,1,3,6,1,5,6,9aw0t0rlACKkMaxsX0KlKA
11,10,17,22,28,29,34,5Udv4CASAXB2eH66TefWPQ
54,33,31,33,71,138,123,2Igiyhi82R8_QaaPplRmCw
8,7,9,10,8,18,9,Cex2R008tMFg8R5fAtf77w
5,13,8,4,4,10,9,n7G2XFGvmS3duDJ4AzjKiQ
3,1,0,0,0,0,1,8tBfgYCI6Fz9xrSYCYCYXA
2,1,0,2,1,2,0,Tb7hQ37UFA2QFaMwjFieQw
12,12,17,13,28,33,19,qemCNgjeYGcFsRwxW9x4xw
0,1,1,0,1,0,2,iudRNo5Q8W7firUBYJEqQQ
89,63,84,78,109,131,98,2X5G4Ujq0s4Wfn4TC7gX0g
1,0,1,1,5,4,2,evIbqjnN4ePd9eT4L4WsIw
1,1,2,1,4,2,0,7lDNKKxMV84KIS1OVZOepw
4,6,4,6,9,10,3,XQ7elqSFIRogvqpiTZz-Wg
2,3,7,9,9,7,8,JL5B_s1EoN4zIru4JSw4Qg
4,5,6,7,4,4,9,DzOPHyrG2XuVqKEvHCnN7w
1,2,0,1,3,3,0,K8Ebs8G1rwc3DBdznHvDxg
4,7,2,7,6,11,5,h3la53L9-OX_HlfeAySh0Q
10,9,12,13,8,16,7,1vQLTKwmcmZXtNzfKEvMmA
41,33,58,34,79,58,43,hhNlQWaKqGbMPoeZHoL-IQ
1,0,0,0,1,1,1,GEw1pLdbMlJecvQkKBIgSw
6,5,12,10,11,8,11,SgQYRICpMdWCmY7wM2Cmcw
0,3,1,1,2,2,3,m0QsJDntW1MrWCxBVFwuAg
4,1,3,3,8,18,13,uwiD9jxs09xxXG0by_xKuA
10,18,15,16,14,12,18,sNmQJQWEVGheCnw5Tf4Phg
4,2,5,1,1,1,2,jrSGpWnVJy8jqgN6XSC7Nw
2,5,7,6,5,4,5,EtnMSBRlMQWrdTla-jz9RA
12,15,16,20,12,10,10,KZXtzoI84iI1CEcAnD7OPA
29,21,18,18,25,20,23,zpNGtjBlIkDq_PLGSCPlAg
8,12,6,10,4,4,2,ZS7-I04iDm4oRP_GJsJqrA
28,27,29,25,40,41,40,FtjvnLhh51ZBYEpKAARaFQ
15,16,14,21,27,20,13,z4cCguoHdU48pj6sXMIzqg
3,3,5,10,21,23,0,sbTF0cLKZH6_BP8BLARVDg
36,55,61,67,130,105,12,OxIeMVcop5oxBUWANi-1Rw
5,8,1,3,6,25,11,imzKM9-mgN1Yk_RIXx3IgA
3,4,3,1,6,0,2,1n0n_-Iz0e3iVpH8sereiA
1,0,2,0,0,2,0,IEHaU93HpEbdUO4z4bKzDw
96,70,89,95,134,171,152,NeUf9FyCCIN4MEseNyqkXQ
4,4,4,1,1,1,0,JcP-IIrZkW_Yyv4a0yLRCw
2,5,5,2,4,1,1,4LcFKTr6Ah87VcxW2z5e6w
15,10,13,15,20,57,45,buVALudg30kgkDusqB3yJw
51,32,30,41,58,125,68,wHi8ODv7TGmeUB02XoX-mA
6,12,7,9,13,17,4,WXpi9z1bqF9raZSW8z70Ow
3,0,2,2,2,0,0,j7kgLc4Uys_sb-H7_Velcg
4,6,1,3,6,0,1,DhDNNHZtaBxYNSqJz64ixg
4,7,5,6,13,5,14,PxP19Rb88OQKiSMl2oWNsg
22,10,30,10,33,39,38,9mwShpTgZofOujt4JfyGmw
6,5,13,18,14,20,12,90Fqfzd8zD9AuuNBSv9lAg
3,3,7,6,2,0,0,pfS0Bd-sXZyMNr73kJPeaw
4,6,6,4,3,3,0,KEzIorUdFjqCuxbRxKPghA
2,4,7,9,10,2,0,pvGT62T6Ci1LKOS9DL42pg
2,1,1,4,0,0,0,OT3yVpDrDVITDCIYox8d9A
3,2,3,2,4,0,2,8AskFIgGxqNb8RbcDCAfmA
2,1,5,2,3,2,0,A2XkbJ07hrR80t0EFgLikQ
4,2,1,2,3,1,0,fVRGT6shuyHPLzKikZsD0g
5,9,8,5,5,21,12,L5387MoRyx9orlRyYfCSPA
8,6,14,8,39,32,21,dHDi4wCcjsOR6vcZ8oOIoA
18,4,10,10,17,21,12,41CXLCeB8z2oNdIOvnrzIA
1,2,0,0,0,0,1,OhwF2JDqlYMZl5Rp3WRBog
0,0,0,1,1,4,1,l2gPB9mqiHSbpwSUa7zrjg
0,0,0,1,1,1,0,gfpl_GyyY5uj6zJnIdzImQ
6,5,6,8,23,3,0,l-OmDgEd4QkZpyXVpkp2yA
9,10,8,13,19,26,7,0FgwBx7pgmNdUtsd_T8UYQ
3,2,2,6,7,5,0,SzHTdZR3yY1WBYUxkVxmUQ
2,0,2,5,10,13,13,WzQrtfz7DSQEv2CK82zhcg
10,13,14,8,7,10,0,xgcZN3F2f9LxLASQK_xzhw
2,3,3,2,2,1,1,_aGVicux2dJm9sqzLSCJtg
13,4,14,13,12,2,2,uUorjstNslr3gkIsVGtQAg
1,0,0,1,1,2,0,0Lsd35rHY6UtPFHjjxJ1LA
4,5,1,0,1,2,0,Bza-l75OiKcMRmTYILpyfQ
1,3,2,1,0,0,0,-TSFapUMwdyyxoi2egkOhw
4,5,2,4,9,9,0,-nfzEVOVvmDSFbxvBsllGQ
2,6,4,1,3,0,0,1E53rS8afK2jiLod8Jwy7A
9,7,6,14,6,0,0,AH1PrZQDIdjpKgy1z8XxUg
24,28,24,26,37,69,53,XmdTkxKyJd7TuDLoiic1kg
12,11,14,14,20,13,4,nBl_NeArpL08MpoghDiA_A
31,15,21,13,14,20,7,J011r7mUV1QhgLJ7GkrtMw
19,19,17,21,28,39,13,-KQ283hJkBO12u8XOrlCcQ
6,5,7,7,15,17,6,SvoJ3Y3uqDfB4iGUaWXh8Q
0,3,4,2,8,4,3,CoeLG9kcKiJQL3TfuAjQUg
1,30,33,55,58,63,0,6xEl2PDJulIp1PfWqa7-aA
3,3,0,1,5,2,1,Lm_mR5xDF91OeZw97ch41g
0,2,4,5,1,0,0,aj4XHn7jZ48euP4g8ape-Q
0,0,1,2,1,1,1,-v31BEquLxeVPgvFHburUQ
3,3,1,1,2,3,0,KnlNwiIELDWAR686Bk2WJg
11,3,8,9,16,6,5,XzaJf6WzpU7RsXTXzx72Xg
3,2,4,0,5,11,2,PTS4MxQel-xzj5qWxVn3LQ
1,4,0,2,5,1,4,IvgKdlte_JNdd17XRxkOrg
0,4,3,4,6,10,0,xAtaxa8D7Sv58q94OMaNCA
3,2,3,3,5,6,3,bDK_jzy3Shx7jfn8_plNoA
16,15,20,12,7,10,0,PhIGoo9g6GBrqgH_6yZXXQ
9,0,11,14,16,31,26,uBW3PIKqc-_eyG1_vdJn1w
6,5,5,2,8,53,1,DsxLIr-b6WlDn9YNsVBu_A
8,5,2,0,4,4,6,FD6OocZdFUfE2J5H0WN4fA
14,11,3,7,14,10,17,LN3OCT1xOedbf65xKzFSNw
1,3,4,6,7,4,0,CW4Qx9vk9D1o47Qgld5PLA
8,15,11,9,30,16,1,tQpYnf3P3Q_OQLYYJvlV-A
10,5,3,2,16,17,5,KH6stvNdq_aV0HvKw8P5yA
0,1,2,1,0,1,0,34TBKRXYq1JHe4kYlHW2Eg
2,0,0,3,1,2,1,nUISXnW2Jo9ovnoFBIUY_Q
2,22,26,24,42,61,50,dxCqGkhtXq-9fYEsX7Mf6Q
41,28,33,27,60,71,45,--UE_y6auTgq3FXlvUMkbw
4,3,6,7,10,13,6,YTqSkgOiiI9HG3hNH7ovfg
32,50,37,39,59,80,1,vgXE1I7c9ElcfYyZfQiN1Q
1,3,1,0,2,0,0,AANB0f7QapfE3WxDiqb9hA
17,12,9,11,30,37,8,-Nanlb7SYXObqQ6dZ49UOg
14,8,18,10,27,26,12,3zgswf_NfBJpeAoWeTkgMA
10,3,7,7,6,2,6,uOwuJJhGaiAzuaDY7-o14g
9,9,13,11,26,25,15,7XXmky6YYjsvKFwho_eavg
6,9,10,9,5,17,10,o_wRqOpli9kyZGXlJtLLdA
12,5,9,8,14,12,8,5MChfa-jZfMo3vBpolkSbw
4,27,32,19,38,38,41,sxeuOMBRllOHXJTaUlI9kQ
9,4,4,11,6,18,4,ptmsW2SSeFD2I6vspJs0lQ
16,33,23,25,39,43,28,r8jeeS3k_diihMDSu9IjlA
0,3,1,8,4,4,1,cH8I7JgPXcrcutT1a3YrjQ
4,4,1,5,8,6,2,dQjaHoo89bLymdMm4S5_1g
0,0,0,3,3,6,0,UjJMQguryo1jypomvOCZgg
5,1,5,5,3,5,1,dpRsK3JyaD3GKorVWzQUmA
2,7,1,3,4,4,1,vWnwaD-kykqiEc2Q0hbYsw
0,1,1,2,0,1,0,T4D7wX6GuCYChwRmser-0A
8,2,3,4,9,6,8,cESul2ojJOjadz-7BKB5eg
1,0,0,0,3,1,2,xUf11yTcoRagwNiJcY8GAA
6,5,4,5,9,8,7,hbFCv2Rginf9zjai-lKUNg
0,0,1,1,2,3,1,vs3UrHaSnzFOxmFU2UAfxQ
31,18,24,29,50,58,21,6-rJjW6ITl5o_FliiNgZRA
29,25,40,32,51,40,23,mPlWLIA4pkHMRtlQDm6UyQ
8,7,2,6,14,4,3,sa3xqElJEv97MazozLeszw
9,17,8,7,12,11,17,MkrQV_nyxyC1F5ut5KxDMQ
4,3,5,4,3,9,5,KZlFb1qDi8YSZJH2A2Nn3A
6,9,19,14,30,44,16,jJfTh2O3M2Q716akd9Dr9w
0,1,4,0,0,1,1,3obPG5F_6rbAu86CuiNW4g
0,1,2,6,2,5,1,mugOAOmylJu5p85Jz_zqOQ
58,50,55,55,98,90,59,9SPwF-vRgtuHxciFxv5YLA
2,27,18,26,41,34,3,Cy9XgM3ZG2jZ1ganvolb6Q
72,111,77,72,133,140,138,rgmptwPbBH1wLpiBHcbIhA
15,24,12,18,35,42,29,i_nkxbd7feg44QkdbG05UA
18,21,21,18,24,36,31,vSZDiKiF8vf9zt_BcDL7GQ
15,17,14,13,22,31,18,DkX3YoxhH4uADsgVgQThew
9,10,12,11,10,29,43,sQWSHCIH_HUT4HUXaxDaBA
1,0,1,2,1,6,1,rUQfZOengMpXFkLvJrNJ3g
1,3,0,0,2,1,0,UnxC_75OQ3hS4bB_onepOw
1,1,3,1,6,5,1,Oq5MyNxNi-xuXdPOWR9O_g
4,26,28,32,43,39,31,xgK6AAhJ-cYBUCSaLzgTuw
3,9,5,9,3,9,8,Z-BI5HJmC2HcpiVuXwVM3A
0,2,0,1,0,0,0,rYdzYIpVH_75GlHaj_ZfEg
6,9,7,8,17,29,9,TIPebazlAGJsp8zAwhNkcw
38,41,16,46,45,112,103,TxKmAsKQjND5vbhBdUSyIA
1,1,2,4,9,18,18,cmGR1HS9ms233roSllcglw
10,7,6,8,8,15,10,mXHBxHrAJPnPWnm_OKuZTQ
13,13,9,11,15,10,15,Q9BXMPu2HnRDMq9X_2rHrQ
0,1,2,1,3,4,5,jeS38QWMVkA6S-4lMi1Frg
0,1,0,1,2,1,0,q5g_zeAdwsZQp0p9GPnTJw
1,2,2,1,0,2,2,bg1e__l7Jh3oDhasW5KFvw
0,0,0,0,0,3,1,L7KHl7v7g3gDxUEpAt9z-g
0,1,2,1,1,1,0,7QBJDNVH6VPAStSvOM_lZA
0,0,2,0,3,3,4,Ln34kwDUNZPLhVhUqauLWQ
1,2,1,2,3,4,1,hxWwXE1mqNuSghYBr5bLWg
1,1,2,0,0,4,0,WrP8KeKTlWcjqQPj2DJKGQ
2,0,2,0,0,2,1,1QhIsblyEViEWc53FmxH_Q
6,5,3,6,4,6,7,-tcf1WSfc2iNRf75AMW6pw
9,9,7,8,13,14,9,dwz55gqPZwSBD74yFFb27g
3,8,1,3,3,5,0,rEpubmz577MOhpDmWPH1uw
0,0,0,1,2,0,1,ysb8Ew0j3mta6c0xUxBM5g
0,2,0,1,6,3,1,ufyh6h4GsR-RYY2lC_Iz7w
0,2,6,1,10,17,5,9VtaTbTKVK9sQVy4j2RO-w
4,4,3,3,7,6,3,PFAOxw4Gl8gm7PGWvohCWg
0,0,2,1,4,0,1,xkrhaKM1YtiLEcorBI5zcQ
0,0,0,1,0,4,0,qm6yyQUe8Ln29NzDfWqxVA
2,3,2,0,0,3,6,EZrCQtZxiEo1kkAYt2EQqw
2,1,1,2,0,1,3,HPcrrz8uipPQyK-5zd6w9Q
1,2,3,6,3,3,4,sPvUuYAF2a1LnYaw8iCm9A
1,3,0,3,3,3,0,cbLaFQJOfzDy_TxMkPee9Q
5,5,1,4,11,10,0,W-2Tuk4uWYm5BsdlWju8wg
0,1,1,1,1,0,0,Gz2bNUss7Y_dyy_lRtVGEw
2,4,2,4,4,0,0,c-Pa13Lq1eB0VwLVoyJ7lg
2,0,1,0,1,0,0,braCb_hHbrQ3BR0xG3yz6g
3,1,3,2,1,1,3,vtJAnB4gBgTJKv3mOnOF_w
1,2,4,1,4,4,7,qJTHaHFKQIKXKX3I17Nw9w
3,2,1,3,2,2,0,JkF2CPy63ivoK1FUqprQ7w
2,36,4,9,18,15,3,OkV0BMQxRRYJ5t5sbeU93A
10,7,7,13,18,23,10,sJtGRBWYUj013nkFA4Hrdg
1,4,1,0,8,19,14,tIdp3z6FcVfYfpnj_No7dA
1,1,2,4,2,3,4,qYuSoVBS_1i_btLzFefDeg
0,0,0,2,3,4,6,5vLVIomtminS_q8itJquEQ
0,0,3,0,0,1,1,CnuxQ4_7j9MKyQiO5YWsFA
0,0,0,0,1,1,1,HlvPa_iypwt5RwUHl-Dz3g
4,2,6,4,2,9,6,2VuPoaFPktvtAqTX_Fzc-A
9,9,13,8,14,13,0,jyF0rwmQEIdDWVtP5vlf3w
1,1,0,1,1,0,0,Z2ks3quiwbkMDY1sVDW9OQ
5,5,4,9,5,8,5,lX3XYcMWoRlHjrmkoGNefQ
3,1,4,1,1,4,3,ji0VxQpFQvzzYMy9fY5fvw
4,35,6,1,5,8,7,friprEn-aT_WmhmIF3pGmg
4,67,51,51,94,118,106,2_0P2AmSSFtPgddio0MgYA
5,12,16,16,32,29,22,BO0zz8gort7o-6KuecIv3Q
26,29,32,32,24,36,39,_Bz6YWNI5bi0gqQI4GLvqQ
2,0,3,2,0,0,1,DLvH3Ck9R8fO_I89maDNIA
13,22,23,18,42,44,36,SVKC_-gIQFkHElZ6bFsE6g
3,5,5,5,7,5,3,l2ynPEBj9S_yN9gjg32tBA
23,14,26,21,53,25,17,AUDuCSWYzzRP3H2w7TxtuQ
6,1,8,5,10,15,7,Gw5POFxBRoJxN_ZYhk6lgQ
7,3,7,7,8,17,8,DE_11y6_vCmPBlbeYskh-Q
24,16,19,36,22,49,45,4WsTFTH8GgnyFHwrH9nHzA
5,1,2,2,4,7,5,QMZe84KFyZy0IlCBb1v91A
3,3,5,9,5,7,1,PVooCeYIrp9E2rtrL4R98g
7,6,3,1,9,3,0,WqPjIMFcT9RTMUumaCvGsw
5,2,1,0,1,1,0,D6sriF-ak-e5D_MTsPc3wg
5,5,3,7,12,5,13,5p3Tqyp19UowO0-dAFvxMw
6,10,7,10,11,22,23,T1jYZFB_7cqdhuvzpxfFWQ
1,1,2,0,2,6,4,Zm9uQ4SYpZzUb3epDMeb7A
10,7,17,17,13,15,2,LT0AgHTpDifuHSXgyLmJwg
0,1,1,0,1,1,0,RjQw9mIJPp6QJAOXJhihAw
1,1,1,2,8,3,1,USdRzNk14UdjZWFgBJb0wA
60,50,73,75,106,142,5,ePP0Eqz8JKSbtdt2phiB4A
16,26,33,32,33,2,0,ASwN3Ih0Eh1oH0npLbzVjA
9,14,19,15,33,24,11,Lt9o2RmacVY2L-IWLA8uTg
9,23,33,21,20,9,1,gpCtDCSXIoQx70cq9itfNA
19,22,21,26,23,56,22,-6JY1T0w4XETux5kGOj84g
53,73,68,79,118,185,63,WuCcv_Dyd_1B_1-4jwK7sQ
19,25,22,26,28,19,12,rT-iPtIXMKj3dTcl87lbOw
16,13,21,8,13,24,23,vIXUw1cLG84-m8LzOg3f-w
3,5,2,6,0,0,0,6eOtk-hsb6uz_5FTsb4tkA
7,5,7,8,15,11,5,4glD2-evDFddHjQaEVpCPQ
48,86,84,77,93,141,87,ym9QwkmB5ZKTyj7q5huTDw
1,3,1,3,1,6,4,OkPX0a9PUrhr6oNgE_FB_w
5,8,5,6,2,0,0,QMX1ssofSveU3qhVAKLnXA
2,1,2,0,1,1,1,XzhsJecsCYj-Wc32zOWqmg
6,5,6,5,9,9,1,9fxTX1uyyYF4ugx68AG2sg
4,3,5,2,2,0,0,utyqO_IVBAN8ULZmi52XaA
3,1,1,2,2,1,2,9XKIFRBT-UTglX3wBGPAAA
7,3,7,5,12,13,5,Hlel9C7zYx7PFru5tOeiAA
27,19,27,29,29,2,1,Heon0PS3J4RGmMa-VflCuA
1,0,1,2,4,20,0,jbUu0Mtu9QUjyyeOn6RIHw
83,101,100,85,140,214,208,mpDxBBGywUE6GRRKja3sBA
4,13,8,8,4,0,0,6ICGve6UyGPuLaGrKQBVuw
53,69,64,70,77,50,102,NTfUFk8GyOLL1uPbEO-pVg
1,5,0,2,0,0,0,_CFgU43jk6pX1cm_Nc1vHw
3,3,8,8,20,25,13,qxaoJ2cd7-cvEPTmSgBAyA
7,7,7,21,20,23,6,e8kqqWU9247Nn5VAF5sDkQ
3,1,3,2,4,0,0,SjsguOTm7kQ_B3QcfHH-3A
14,25,13,19,22,21,4,z24h6ZYnZiWjlDTuLXG9jw
3,3,2,2,2,3,1,WYnveDiSEXLCeNkLZrXibQ
2,5,14,19,28,19,9,EwuvZCcVHkICgTbqCEjikA
4,8,9,11,24,26,11,6SxAOEXHzNjWQMQ9Nnos3A
44,47,62,51,82,91,44,kAid56AY_laxGYslMdsYJw
45,51,57,55,80,67,40,CChwRoYVXA3QZulS8a6xOQ
4,6,4,8,6,13,5,t5l-H2KdY4MQgLDMENz9WQ
5,9,3,2,13,13,0,C9CF7p53Y0L5ErKRhhFhng
8,17,17,16,23,20,0,7BVCmaxhvXgEpx7J-SQ4QA
15,4,5,13,6,0,0,-R7uChoaVzwNvPNMT1gOuw
23,33,42,52,86,102,31,jmzPbvE_02SzTAjwZCTgYA
5,5,7,4,9,12,9,nkNdTqpv1m5GBKx8xrpluw
35,47,39,27,27,12,14,LUylwiKNsS7_iumytRgAmw
0,0,0,9,6,8,1,GK6RBUJUBScobbF1oE5iuw
4,9,6,6,7,20,0,TLrX4FECQDFz-E45TI_9ow
5,2,8,3,2,7,9,sW75uX0kxW9b03aFa5upnw
9,7,17,35,38,31,1,e5J3s-xxs1S6PPHJhldBEA
4,3,5,4,0,0,0,DjnNu1sWHEJpNBnW7CSdzA
10,13,13,13,3,0,1,5dn_3KLiTl2vVe8O91pJ6g
25,6,8,16,16,37,6,XeFNQqz5vVsVIcTjNuXcTw
0,0,1,0,9,17,1,Zw-sWBbL3Z9zyZ0ri9UT_g
7,5,8,7,6,0,0,ZUdsjWHZVo38isY-xhLSMQ
4,5,6,11,5,0,0,qqVmZ3H7j06pcJFaSA4pcg
5,3,5,5,12,1,1,4-B5ou1FbGVjVEQd3FAoIA
0,0,0,0,1,4,0,PowgfhnMrRKscqecHZdLzQ
16,28,22,28,47,26,16,376PDtBpGi74Os08TvCkhg
13,2,4,9,5,5,0,G5dIek0rXPTHlqlJpCNmpw
0,1,1,1,0,1,0,biNr0NdUU_dPXgWEhGJNZg
4,3,6,3,7,3,0,v96eOvQGYHukDu_UWqNl4A
0,2,2,1,1,1,0,ePogmFFQkAy68Ne0VVUGBg
6,3,1,1,4,4,4,b856Q36EWKbwbm_XdJER8Q
27,24,31,24,25,35,29,wpFOZbONc7qUYz6YmBfKuQ
18,21,22,17,45,45,3,eaqJQP6bp7rQJQt5KqfvxQ
26,31,41,28,41,36,2,hBscDTusN57Ai0SnkQK8Sg
5,4,8,6,6,6,3,d4t1qlm-mjhBmDUdboq5Uw
4,4,5,6,12,7,0,CDH2dyRcJUDPM1xj4AD0lQ
3,4,1,3,1,1,1,JgGpBGMAb1Nc2Z5jVIwZMA
9,8,9,8,12,5,1,L9D9xHVgCo71ZoO1ZBGOsQ
24,20,30,29,46,77,33,uDoTFFud2mXE3VT1Jt9L5A
4,10,7,9,14,9,0,FRYCe6Yc0rPzzloSWSsl1g
40,42,51,64,93,91,60,MQnNtW1lHS-eid3QNUoUIw
5,1,7,7,4,4,5,n2MTry6EWZKwDxxm9-povQ
5,12,17,22,46,37,12,eNIDbboNe7W_rAnNHoveEA
12,18,21,20,26,44,27,nuCgH96Tfe6CFXznvmKdhA
76,64,67,81,118,143,111,MMNBgMQCdwyVoNaHg0h_QA
5,1,4,2,3,3,0,KT9EiMOGpAgFBwVG4GakNg
3,4,2,8,6,6,7,c9D0yUos-jGOZaUv7SgCFw
6,6,5,3,2,6,5,oYo5e7TUAYGRdx_0rjohww
3,0,2,3,4,3,9,l3mzaesyc90rxXt2d4HpTg
9,10,10,12,17,23,0,8PsQqhrAH5uqJ7HODOmXYg
12,6,12,15,24,11,17,cibtubYc6gd8T6Y-nPPByw
